newline{}

BasicDefense				{Навык основной защиты}
perkBasicDefense			{Повреждения, наносимые персонажу, уменьшаются на 10%.}

AdvancedDefense				{Навык продвинутой защиты}
perkAdvancedDefense			{Повреждения, наносимые персонажу, уменьшаются на 20%.}

CriticalHit					{Критический удар}
perkCriticalHit				{Персонаж получает возможность нанести критический удар по противнику.(Вероятность 5%)}

Ciras						{Кираса}
perkCiras					{Этот навык позволяет надевать кирасы.}

SwordplayProfessional		{Профессиональный фехтовальщик}
perkSwordplayProfessional	{Вероятность нанесения критического удара 15%. Повреждения, наносимые персонажу, уменьшаются на 30%.}

AgileMan					{Ловкач}
perkAgileMan				{Годы тренировок в фехтовании и стрельбе дали свои результаты. Теперь вы гораздо быстрее обращаетесь с ножнами и пистолетами, быстрее плаваете.	(25% вероятность уклониться от выстрела. Также вы быстрее приходите в себя, пропустив удар)}

Buldozer					{Громила}
perkBuldozer				{Данная способность позволяет вам лучше проталкиваться через толпы с оружием в руках. (по умолчанию горячая клавиша "Y")}

Rush						{Берсерк}
perkRush					{На период в 10 секунд энергия не теряется, а полученные раны наносят на 50% меньше урона, а также повышается шанс пробития блоков до 100%.	Следующее использование только через минуту.}

Tireless					{Неутомимость}
perkTireless				{Во время боя к вам приходит второе дыхание, и вам легче сопротивляться усталости. (Скорость восстановления энергии +15%)}

HardHitter					{Тяжёлая рука}
perkHardHitter				{Вы наносите удары такой силы, что они ошеломляют противника, заставляя терять его боевую энергию на 10% за каждый удар.}

BladeDancer					{Танец с саблями}
perkBladeDancer				{Вы наконец-то осознали, как правильно наносится круговой удар.	(30% бонус к повреждениям от кругового удара).}

Sliding						{Неотразимый удар}
perkSliding					{Ваши удары имеют дополнительный 20% шанс пробить блок противника.}

Gunman						{Стрелок}
perkGunman					{Персонаж лучше обращается с пистолетами: перезарядка быстрее на 10%, точность боя выше на 10%. Появляется возможность использования мушкетов и двуствольных пистолетов.}

GunProfessional				{Мушкетёр}
perkGunProfessional			{Персонаж приобретает профессинальные навыки: перезарядка личного оружия быстрее первоначальной на 25%, точность боя выше на 25%. Возможно использование четырехствольных пистолетов.}

IronWill					{Железная воля}
perkIronWill				{На корабле снижается вероятность мятежа от невыплат зарплаты и голода.}

SharedExperience			{Обмен опытом}
perkSharedExperience		{Персонаж может обмениваться предметами с офицерами во время абордажа. Теперь офицеры и компаньоны будут качаться наравне с героем, получая весь его опыт, а пассажиры будут получать 25% от опыта героя.}

Craft						{Изобретатель}
perkCraft					{Позволяет вам создавать самые мощные боеприпасы, а также создавать продвинутые вещи.}

HPPlus						{Растущая жизнь}
perkHPPlus					{Данная способность увеличивает максимальную жизнь героя на 80 очков.}

HPPlusFixed					{Растущая жизнь}
perkHPPlusFixed				{Данная способность увеличивает максимальную жизнь героя на 60 очков. Также способность позволяет восстановить здоровье быстрее, если за день не наносятся серьёзные раны. Снижает падение, если раны были. Во время плавания работает, но не так сильно.}

EnergyPlus					{Растущая энергия}
perkEnergyPlus				{Данная способность увеличивает максимальную энергию героя на 60 очков. Также позволяет поднимать дополнительно 30 фунтов.}

EnergyPlusFixed				{Растущая энергия}
perkEnergyPlusFixed			{Данная способность увеличивает максимальную энергию героя на 45 очков. Также позволяет поднимать дополнительно 30 фунтов.}

ByWorker					{Совместитель}
perkByWorker				{Данный персонаж обладает способностями занимать сразу две офицерские должности.}

ByWorker2					{Совместитель-универсал}
perkByWorker2				{Данный персонаж обладает способностями занимать сразу три офицерские должности.}

Trustworthy					{Вызывающий доверие}
perkTrustworthy				{Отрицательная репутация героя перестаёт влиять на принятие решения о найме большинством работодателей, так как обаяние героя вводит их в заблуждение.}

UnlimitedContra				{Заядлый контрабандист}
perkUnlimitedContra			{Благодаря своему авторитету и навыкам в торговле теперь вы можете проводить контрабандные сделки безо всяких ограничений. Для получения требуются умения Авторитета и Торговли равные 50 и более (увеличения умений от предметов не учитываются).}

AboardCollector				{Мародёрство}
perkAboardCollector			{После завершения боя, вы и ваша команда быстрей собираете всё добро с сундуков и поверженных врагов в один большой сундук.	(по умолчанию горячая клавиша "Ё". При случайном закрытии сундука, его можно повторно открыть)}

ShipEscape					{Спасение на шлюпке}
perkShipEscape				{Спасение на шлюпке с тонущего корабля героя на один из кораблей его эскадры. Данная способность позволяет во время боя при корпусе корабля < 15% через меню "трюм" обменяться или переселиться на другой корабль эскадры. Если способность имеется у компаньона, то он спасётся с тонущего корабля или брандера, вернувшись пассажиром на корабль героя, спустив шлюпку.}

FastReload					{Быстрая перезарядка}
perkFastReload				{Скорость перезарядки пушек увеличивается на 10%.}

ImmediateReload				{Предварительная перезарядка}
perkImmediateReload			{При выборе данной возможности следующая перезарядка произойдёт на 30% быстрее. После использования возможность блокируется на 5 минут.}

HullDamageUp				{Увеличенные повреждения корпусу}
perkHullDamageUp			{Повреждения корпусу вражеского корабля увеличиваются на 15%.}

SailsDamageUp				{Увеличенные повреждения парусам}
perkSailsDamageUp			{Повреждения парусам вражеского корабля увеличиваются на 15%.}

CrewDamageUp				{Увеличенные повреждения команде}
perkCrewDamageUp			{Повреждения команде вражеского корабля увеличиваются на 15%.}

CriticalShoot				{Критический выстрел}
perkCriticalShoot			{Персонаж получает возможность нанести критический залп по противнику. (Вероятность 5%)}

LongRangeShoot				{Увеличенное расстояние выстрела}
perkLongRangeShoot			{Максимальная дальность стрельбы орудий увеличивается на 15%.}

CannonProfessional			{Профессиональный канонир}
perkCannonProfessional		{Повреждения, наносимые любой части корабля, увеличиваются на 30%. Вероятность нанесения критического попадания 15%.}

LongRangeGrappling			{Абордаж с большого расстояния}
perkLongRangeGrappling		{Расстояние, с которого можно брать вражеское судно на абордаж, увеличивается на 15%.}

MusketsShoot				{Мушкетный залп}
perkMusketsShoot			{Непосредственно перед абордажом производится мушкетный залп, который наносит до 25% повреждения команде противника, но не более числа стреляющих.}

GrapplingProfessional		{Мастерский абордаж}
perkGrapplingProfessional	{Расстояние, с которого можно брать вражеское судно на абордаж, увеличивается на 25%. Брать на абордаж можно под любым углом захода и скорости судна.}

BasicBattleState			{Основная защита корабля}
perkBasicBattleState		{Общие повреждения, наносимые кораблю, снижаются на 15%.}

AdvancedBattleState			{Продвинутая защита корабля}
perkAdvancedBattleState		{Общие повреждения, наносимые кораблю, снижаются на 25%.}

ShipDefenseProfessional		{Профессионал по защите корабля}
perkShipDefenseProfessional	{Общие повреждения, наносимые кораблю, снижаются на 35%. Вероятность получения критического удара уменьшается на 70%.}

LightRepair					{Лёгкий ремонт}
perkLightRepair				{Медленная починка повреждений корабля без использования ресурсов. Починить можно не более 10% Hp. Без этой способности при значении Hp корпуса меньше 10% кораблю медленно, но постоянно наносятся слабые повреждения - корабль тонет.	(Работает 60с. каждые 3 минуты)}

InstantRepair				{Быстрая починка}
perkInstantRepair			{Быстрая починка корабля в бою. Необходимо наличие досок для корпуса и парусины для парусов. Нельзя восстанавливать упавшие мачты и пополнять команду. (Максимальное восстановление - до 65%. Кулдаун - 90 сек)}

ShipSpeedUp					{Увеличение скорости корабля}
perkShipSpeedUp				{Увеличение максимальной скорости корабля на 15%.}

ShipTurnRateUp				{Увеличение манёвренности корабля}
perkShipTurnRateUp			{Увеличение манёвренности корабля на 15%.}

StormProfessional			{Плавание в штормах}
perkStormProfessional		{Уменьшение повреждений, наносимых штормом, на 30%.}

Turn180						{Манёвренный разворот корабля}
perkTurn180					{Разворот корабля - скорость разворота на одну минуту в 4 раза быстрее. Повтор не ранее, чем через 3 минуты.}

SailingProfessional			{Опытный мореплаватель}
perkSailingProfessional		{Увеличение скорости и манёвренности корабля на 20%. В 75% случаев на карте мира можно пропустить встречу с обычными кораблями.}

SeaDogProfessional			{Гроза Морей}
perkSeaDogProfessional		{Завидя вымпел Грозы Морей, даже отъявленные авантюристы и разбойники не рискуют испытывать судьбу. Исключает атаку вражескими эскадрами в море. Не работает на кораблях малых классов.}

FlagPir						{Флаг пиратов}
perkFlagPir					{Возможность сменить свой флаг на Весёлого Роджера.}

FlagEng						{Флаг Англии}
perkFlagEng					{Возможность сменить свой флаг на флаг Англии. Вероятность того, что обман будет раскрыт, зависит от скрытности, класса и числа кораблей в эскадре, числа кораблей противника и награды за голову. Для получения требуется успешно абордировать корабль, принадлежащий Англии.}

FlagFra						{Флаг Франции}
perkFlagFra					{Возможность сменить свой флаг на флаг Франции. Вероятность того, что обман будет раскрыт, зависит от скрытности, класса и числа кораблей в эскадре, числа кораблей противника и награды за голову. Для получения требуется успешно абордировать корабль, принадлежащий Франции.}

FlagSpa						{Флаг Испании}
perkFlagSpa					{Возможность сменить свой флаг на флаг Испании. Вероятность того, что обман будет раскрыт, зависит от скрытности, класса и числа кораблей в эскадре, числа кораблей противника и награды за голову. Для получения требуется успешно абордировать корабль, принадлежащий Испании.}

FlagHol						{Флаг Голландии}
perkFlagHol					{Возможность сменить свой флаг на флаг Голландии. Вероятность того, что обман будет раскрыт, зависит от скрытности, класса и числа кораблей в эскадре, числа кораблей противника и награды за голову. Для получения требуется успешно абордировать корабль, принадлежащий Голландии.}

Brander						{Брандер}
perkBrander					{Возможность послать союзный корабль взорваться рядом с вражеским судном, нанеся ему огромный урон.}

Troopers					{Высадка десанта союзных кораблей}
perkTroopers				{Возможность объединить команды подчинённых вам кораблей перед штурмом форта и общим числом атаковать форт.}

BasicCommerce				{Базовая торговля}
perkBasicCommerce			{Скидка на товары в магазинах 10%.}

AdvancedCommerce			{Продвинутая торговля}
perkAdvancedCommerce		{Скидка на товары в магазинах 20%. Цена покупки +5%.}

Carpenter					{Плотник}
perkCarpenter				{Увеличивает максимально возможный эффект починки на 10%.}

Builder						{Кораблестроитель}
perkBuilder					{Уменьшает расход досок и парусины во время ремонта на 10%.}

WindCatcher					{Увеличение динамики}
perkWindCatcher				{Вы чувствуете самое маленькое изменение в потоке ветра и умеете его использовать. (+10% к динамике набора скорости вашим кораблём)}

SailsMan					{Быстрые паруса}
perkSailsMan				{Благодаря использованию новейших методов кнута и пряника, вы добились того, что все операции с парусами производятся на 10% быстрее.}

Doctor1						{Врач}
perkDoctor1					{Уменьшает потери команды во время морского боя от ран и картечи на 10%.}

Doctor2						{Спаситель жизни}
perkDoctor2					{Уменьшает потери команды во время морского боя от ран и картечи на 20%.}

EmergentSurgeon				{Экстренный хирург}
perkEmergentSurgeon			{Уменьшает потери команды во время абордажей при наличии достаточного количества лекарств.}

InstantBoarding				{Читовый абордаж}
