newline{}

Store			{Магазин}
Store_Info		{Открытие этого здания даёт игроку возможность автоматически закупать припасы первой необходимости и сбывать товары, добытые с рудников и плантаций.}

Shipyard		{Верфь}
Shipyard_Info	{Открытие верфи позволяет бесплатно чинить корабли вашей эскадры.}

Tavern			{Таверна}
Tavern_Info		{Открытая таверна привлечёт матросов и безвозмездно предоставит ночлег.}

Bank			{Дом ростовщика}
Bank_Info		{Открытие банка позволяет жителям города брать кредиты и класть деньги на депозит.}

Church			{Церковь}
Church_Info		{Открытие церкви предоставляет жителям место для молитвы и уменьшает вероятность мятежа.}

HeadPort		{Портовое управление}
HeadPort_Info	{Открытое портовое управление позволит совершенно бесплатно оставлять на хранение свои корабли.}

Expedition		{Экспедиция}
Expedition_Info	{Проведение экспедиции позволит начать постройку таких строений, как плантация и рудники. Возможность провести экспедицию появляется после расширения колонии.}

StoreHouse		{Склад}
StoreHouse_Info	{На складе вы сможете оставить на хранение любые товары. Кроме того, склад можно расширить для большей вместительности. Расширение склада доступно после расширения колонии.}

Plantation		{Плантация}
Plantation_Info	{Плантация позволяет добывать сахар и кофе. Чтобы начать её постройку необходимо сперва произвести экcпедицию. Кроме того, имеется возможность расширить плантацию для большего количества добываемого сахара, рабов и надсмотрщиков. Именно после расширения доступна добыча кофе.}

GoldMine		{Золотой рудник}
GoldMine_Info	{Постройка данного рудника позволит добывать золотую руду наряду с серебряной и железной. Доступен к постройке после проведения экспедиции. Кроме того, имеется возможность расширить рудник для большего количества добываемой руды, рабов и надсмотрщиков.}

SilverMine		{Серебряный рудник}
SilverMine_Info	{Постройка данного рудника позволит добывать серебряную руду наряду с золотой и железной. Доступен к постройке после проведения экспедиции. Кроме того, имеется возможность расширить рудник для большего количества добываемой руды, рабов и надсмотрщиков.}

IronMine		{Железный рудник}
IronMine_Info	{Постройка данного рудника позволит добывать железную руду наряду с серебряной и золотой. Доступен к постройке после проведения экспедиции. Кроме того, имеется возможность расширить рудник для большего количества добываемой руды, рабов и надсмотрщиков.}

AllInfo			{Общая информация}
				{Открытие каждого из главных зданий в колонии улучшит мораль колонии. Кроме того, закрытые здания будут отрицательно влиять на мораль населения, а открытые, наоборот - положительно.}
