// 100% готово
newLine{}

// Меню настроек
HelpChooser				{Выбор раздела помощи}
MainInterface			{Управление в интерфейсах}
DialogControls			{Диалог}
WorldMapControls		{Карта мира}
BattleInterfaceControls	{Управление в интерфейсах}
Sailing1Pers			{Море от 1го лица}
Sailing3Pers			{Море от 3го лица}
FightModeControls		{Режим боя}
PrimaryLand				{Управление на земле}

// ГГ

	// Камера

	ChrCamTurnV			{Вертикальное перемещение камеры за персонажем}
	ChrCamTurnH			{Горизонтальное перемещение камеры за персонажем}
	ChrCamCameraSwitch	{Изменение режима камеры 'за персонажем' \ 'вид из глаз'}
	ChrCamNormalize		{Центрирование камеры}
	// Движение

	ChrTurnH 	{Поворот персонажа}
	ChrTurnV	{Движение персонажа}
	ChrTurnHL	{Поворот персонажа влево}
	ChrTurnHR	{Поворот персонажа вправо}

	ChrForward	{Идти вперед}
	ChrForward1	{Идти вперед}
	ChrForward2	{Идти вперед (альтернативная)}
	ChrBackward	{Идти назад}
	ChrBackward1{Идти назад}
	ChrRun		{Перейти на бег}
	ChrRunStick	{Перейти на бег}

	// Бой

	ChrStrafeLeft		{Рывок влево}
	ChrStrafeRight		{Рывок вправо}

	ChrBlock			{Блок}
	ChrRecoil			{Отскок}
	ChrParry			{Парирование}
	ChrAttackForce		{Выпад}
	ChrAttackFast		{Удар}
	ChrAttackRound		{Круговой удар}
	ChrAttackBreak		{Пробивающий удар}
	ChrAttackFient		{Финт}
	ChrAttackBreakBase	{Пробивающий удар/Финт}
	ChrAttackRoundBase	{Круговой удар}
	ChrAttackChoseBase	{Переключатель ударов}
	ChrBlockBase		{Блок}
	ChrAttackBase		{Выпад/Парирование}
	ChrAltAttackBase	{Удар/Круговой удар}
	ChrAltAttackBaseA	{Круговой удар}
	SoloParry			{Финт}
	SoloFient			{Парирование}

	ChrFire				{Выстрелить}
	MushketHotkey		{Переключить (мушкет)/(сабля+пистолет)}
	BOAL_UsePotion		{Выпить хилку}

	BOAL_ActivateRush	{Активировать 'Берсерка'}
	PusherHotkey		{Активировать "Громилу"}
	ChrFightMode		{Включение/выключение боевого режима}
	csmRunLootCollector	{Открыть сундук (перк Стервятник, абордажи и осады)}

	// Диалог

	DlgAction			{Выбор ответа в диалоге}
	DlgAction1			{Выбор ответа в диалоге}
	DlgUp				{Перейти к предыдущему варианту ответа в диалоге}
	DlgDown				{Перейти к следующему варианту ответа в диалоге}
	DlgScrollUp			{Пролистать строки диалога вниз}
	DlgScrollDown		{Пролистать строки диалога вверх}
	Say					{Вызов интерфейса автозакупки казначеем}
	
	// Команды

	OfficersCharge	{Команда офицерам "Атаковать"}
	OfficersHold	{Команда офицерам "Стоять"}
	OfficersFollow	{Команда офицерам "Следовать"}
	
	// Другое
	
	ChrJump			{Прыжок}
	BOAL_DeadSearch	{Обыск трупа}
	hk_Cure			{Выпить хилку}
	UseAntidote		{Выпить противоядие}
	UseFood			{Использовать еду}
	hk_Rush			{Активировать 'Ярость'}
	ChrAction		{Выполнить действие}

// Корабль

	// Камера

	ShipCamera_Turn_V	{Вертикальное перемещение камеры за кораблем}
	ShipCamera_Turn_H	{Горизонтальное перемещение камеры за кораблем}
	ShipCamera_Forward	{Приближение камеры к кораблю}
	ShipCamera_Backward	{Удаление камеры от корабля}

	Sea_CameraSwitch	{Переключение камеры "за кораблем"/"на палубе"}
	Telescope			{Включить/выключить подзорную трубу}
	TelescopeIn			{Включить/приблизить подзорную трубу}
	TelescopeOut		{Выключить/удалить подзорную трубу}

	DeckCamera_Turn_V	{Вертикальный поворот камеры (вид с палубы)}
	DeckCamera_Turn_H	{Горизонтальный поворот камеры (вид с палубы)}
	DeckCamera_Forward	{Вперед (вид с палубы)}
	DeckCamera_Backward	{Назад (вид с палубы)}
	DeckCamera_Left		{Левый стрейф (вид с палубы)}
	DeckCamera_Right	{Правый стрейф (вид с палубы)}

	// Движение

	Ship_TurnLeft	{Поворот корабля влево}
	Ship_TurnRight	{Поворот корабля вправо}
