newline{}

Balls			{Ядра}
Balls_descr		{Ядра - самый дешёвый, простой и надёжный вид боеприпасов, подходящих почти для всех целей, как защитного, так и атакующего огня. Однако, наиболее целесообразно использовать ядра для стрельбы по корпусу корабля и для выведения из строя фортификаций. Наносят урон: корпусу - #f.2DamageHull#, парусам - #f.2DamageRig#, команде - #f.2DamageCrew#}

Grapes			{Картечь}
Grapes_descr	{Картечь - маленькие металлические шарики, которые засыпаются в орудийное дуло и при попадании по человеку вызывают многичисленные ушибы и даже могут убить его. Но из-за маленького веса кучность и дальность полёта дроби невысока. Поэтому самым рациональным методом использования картечи - во время сближения к кораблю, с целью абордировать его. Наносит урон: корпусу - #f.2DamageHull#, парусам - #f.2DamageRig#, команде - #f.2DamageCrew#}

Knippels		{Книппели}
Knippels_descr	{Книппели - два железных ядра, соединённые цепью или шестом, созданы для уничтожения парусного вооружения противника. В полёте книппели вращаются, из-за чего они намертво закручиваются на мачты, сшибая древесину слой за слоем, и обрывают оснастку с парусами. Наносят урон: корпусу - #f.2DamageHull#, парусам - #f.2DamageRig#, команде - #f.2DamageCrew#}

Bombs			{Бомбы}
Bombs_descr		{Бомба - самой дорогой и самый разрушительный снаряд, представляющий собой чугунный шар с порохом внутри, в который воткнут фитиль. После выстрела бомба разрывается, поражая команду осколками, поджигая оснастку и ломая корпус ударной волной. Наносят урон: корпусу - #f.2DamageHull#, парусам - #f.2DamageRig#, команде - #f.2DamageCrew#}

Powder			{Порох}
Powder_descr	{Изобретённый китайцами, порох необходим для выстрела корабельных орудий. Внимательно следите за наличием в трюме и регулярно пополняйте его запас, ведь без него пушки будут молчать как рыбы и не сделают ни единого залпа.}

Food			{Провиант}
Food_descr		{В этих мешках и бочонках собрано всё необходимое для питания экипажа и перевозимых рабов во время плавания: рыба, мясо, сухари, пресная вода. Отсутствие провианта на борту приводит к голоду, смерти экипажа и резкому падению морали. Потребление: 1ц на 10 матросов или 20 рабов в день.}

Weapon			{Оружие}
