Antigua			{Антигуа}
Barbados		{Барбадос}
Bermudes		{Бермуды}
Beliz			{Юкатан}
Cuba			{Куба}
Cuba1			{Куба}
Cuba2			{Куба}
Caiman			{Кайман}
Cumana			{Кумана}
Caracas			{Каракас}
Curacao			{Кюрасао}
Cartahena		{Картахена}
Dominica		{Доминика}
Guadeloupe		{Гваделупа}
Hispaniola		{Эспаньола}
Hispaniola1		{Эспаньола}
Hispaniola2		{о. Мария Галанте}
Jamaica			{Ямайка}
Maracaibo		{Маракайбо}
Martinique		{Мартиника}
SentMartin		{Сан Мартин}
Nevis			{Невис}
PuertoRico		{Пуэрто-Рико}
PortoBello		{Порто Белло}
Pearl			{Жемчужный берег}
Panama			{Панама}
SantaCatalina	{Санта-Каталина}
Terks			{Теркс}
Tortuga			{Тортуга}
Trinidad		{Тринидад и Тобаго}
Reefs			{Риф скелета}
KhaelRoa		{Кхаэль Роа}
Mein			{Мэйн}

Tenotchitlan	{оз. Тескоко}

SentJons_town		{Сент-Джонс}
Pirates_town		{Пиратское поселение}
Bridge_town			{Бриджтаун}
Beliz_town			{Белиз}
Santiago_town		{Сантьяго}
PuertoPrincipe_town	{Пуэрто-Принсипе}
Havana_town			{Гавана}
Cumana_town			{Кумана}
Caracas_town		{Каракас}
Villemstad_town		{Виллемстад}
Cartahena_town		{Картахена}
BasTer_town			{Бас Тер}
SantoDomingo_town	{Санто-доминго}
LaVega_town			{Ла Вега}
PortPax_town		{Порт-о-Принс}
PortRoyal_town		{Порт Рояль}
Maracaibo_town		{Маракайбо}
FortFrance_town		{Форт де Франс}
LeFransua_town		{Ле Франсуа}
Marigo_town			{Мариго}
Charles_town		{Чарлстаун}
SanJuan_town		{Сан-Хуан}
PortoBello_town		{Порто Белло}
Panama_town			{Панама}
SantaCatalina_town	{Санта-Каталина}
Tortuga_town		{Тортуга}
PortSpein_town		{Порт-оф-Спейн}
Tenotchitlan_town	{Теночтитлан}
FortOrange_town		{форт Оранж}

Estate				{Имение Оглторпа, Англия}
DesMoines			{Дес-Мойнес}
Caiman_town			{Кайман}
Duel Field			{Дуэльное поле}

Shore1		{мыс Бун}
Shore2		{залив Уиллогби}
Shore3		{залив Руны}
Shore4		{мыс Гаррисон}
Shore5		{мыс Раггед Пойнт}
Shore6		{мыс Каточе}
Shore7		{залив Косумель}
Shore8		{бухта Четумаль}
Shore9		{бухта Аматике}
Shore10		{лагуна Каратаска}
Shore11		{мыс Камагуэй}
Shore12		{залив Анна Мария}
Shore13		{залив Батабано}
Shore14		{бухта Хувентуд}
Shore15		{мыс Сан Антонио}
Shore16		{Пустынный пляж}
Shore17		{залив Эсмеральды}
Shore18		{берег Бока де ла Сьерпе}
Shore19		{бухта Карупано}
Shore20		{пляж Лос Текес}
Shore21		{мыс Аруба}
Shore22		{Пальмовый берег}
Shore23		{мыс Кальвинистов}
Shore24		{берег Приют Контрабандиста}
Shore25		{бухта Ковеньяс}
Shore26		{пляж Касл Брус}
Shore27		{мыс Скотс Хед}
Shore28		{бухта Морн л'О}
Shore29		{пляж Капстер}
Shore30		{бухта Гран Бур}
Shore31		{мыс Недоступный}
Shore32		{мыс Исабела}
Shore33		{бухта Самана}
Shore34		{бухта Гонаив}
Shore35		{мыс Негрил}
Shore36		{бухта Портленд}
Shore37		{бухта Гуахира}
Shore38		{пляж Ламантен}
Shore39		{бухта Ле Марен}
Shore40		{берег Спасения }
Shore41		{бухта Неистового ветра}
Shore42		{бухта Ньюкасл}
Shore43		{пляж Бат}
Shore44		{бухта Агуадилья}
Shore45		{пляж Фахардо}
Shore46		{лагуна Чирики}
Shore47		{залив Москитос}
Shore48		{Дарьенский залив}
Shore49		{залив Папагайо}
Shore50		{залив Никоя}
Shore51		{залив Коронадо}
Shore52		{залив Гольфо Дульсе}
Shore53		{берег Москитов}
Shore54		{мыс Перлас}
Shore55		{залив Сан Хуан дель Норте}
Shore56		{залив Северный}
Shore57		{залив Южный}
Shore58		{пляж Глаз Рыбы}
Shore59		{бухта Скарборо}
Shore60		{мыс Галера}

Shore61		{Тепейакак}
Shore62		{Истапалапу}
Shore63		{залив Сан Мигель}
Shore64		{пляж Кхаэль Роа}
Shore64_1	{ }
Shore_ship1	{бухта Разбитого корыта}
Shore_ship2	{залив Гибели}
Shore_ship3	{мыс Несбывшихся надежд}

Mayak1	{маяк Тринидада и Тобаго}
Mayak2	{маяк Барбадоса}
Mayak3	{маяк Порт Рояля}
Mayak4	{маяк Гваделупы}
Mayak5	{маяк Невиса}
Mayak6	{маяк Тортуги}
Mayak7	{маяк Порт-о-Принса}
Mayak8	{маяк Санто-доминго}
Mayak9	{маяк Сантьяго}
Mayak10	{маяк Гаваны}
Mayak11	{маяк Картахены}
Mayak12	{маяк Каймана}

Boarding fortyard	{Внутренний двор}
Boarding bastion1	{Бастион}
Boarding bastion2	{Бастион}

Bridgetown			{Бриджтаун}
Bridgetown Town		{Бриджтаун}
Bridgetown Fort		{форт Бриджтауна}
Bridgetown Port		{порт Бриджтауна}
SanJuan				{Сан-Хуан}
SanJuan Town		{Сан-Хуан}
SanJuan Fort		{форт Сан-Хуана}
SanJuan Port		{порт Сан-Хуана}
Santiago			{Сантьяго}
Santiago Town		{Сантьяго}
Santiago Fort		{форт Сантьяго}
Santiago Port		{порт Сантьяго}
PuertoPrincipe		{Пуэрто-Принсипе}
PuertoPrincipe Town	{Пуэрто-Принсипе}
PuertoPrincipe Fort	{форт Пуэрто-Принсипе}
PuertoPrincipe Port	{порт Пуэрто-Принсипе}
SentJons			{Сент-Джонс}
SentJons Town		{Сент-Джонс}
SentJons Fort		{форт Сент-Джонса}
SentJons Port		{порт Сент-Джонса}
